time,y,delta_y,delta_t,Vy,Impacto
0.0,-899.99933,,,,
0.024,-899.99933,0.0,0.024,0.0,-899.99933
0.048,-899.99933,0.0,0.024,0.0,-899.99933
0.072,-899.95575,0.043580000000019936,0.023999999999999994,1.8158333333341645,-899.3341159371832
0.096,-899.61023,0.34551999999996497,0.024000000000000007,14.396666666665203,-894.6816618177072
0.12,-898.63013,0.9800999999999931,0.023999999999999994,40.83749999999972,-884.649782478972
0.144,-896.68451,1.9456199999999626,0.023999999999999994,81.06749999999846,-868.9317870698275
0.168,-893.48584,3.198669999999993,0.02400000000000002,133.27791666666624,-847.8593547382036
0.192,-888.96118,4.52466000000004,0.023999999999999994,188.5275000000017,-824.4205012789558
0.216,-883.11194,5.849240000000009,0.023999999999999994,243.71833333333376,-799.6771803490477
0.24,-875.93793,7.174009999999953,0.023999999999999994,298.91708333333145,-773.6063792201511
0.264,-867.4389,8.499030000000062,0.02400000000000002,354.12625000000224,-746.206992039951
0.288,-857.61456,9.824340000000007,0.023999999999999966,409.3475000000009,-717.4781582402436
0.312,-846.46484,11.149720000000002,0.02400000000000002,464.5716666666663,-687.4229459461719
0.336,-833.98932,12.47551999999996,0.02400000000000002,519.8133333333312,-656.0359426859144
0.36,-820.18787,13.801450000000045,0.023999999999999966,575.0604166666694,-623.3211550789779
0.384,-805.0603,15.127569999999992,0.02400000000000002,630.3154166666658,-589.2775372730555
0.408,-788.60638,16.45392000000004,0.023999999999999966,685.5800000000027,-553.9042886999337
0.432,-770.82599,17.780389999999898,0.02400000000000002,740.8495833333284,-517.2028584221911
0.456,-751.71899,19.107000000000085,0.02400000000000002,796.1250000000028,-479.1728211557145
0.48,-731.2854,20.43358999999998,0.023999999999999966,851.3995833333338,-439.8164791733455
0.504,-709.52508,21.76031999999998,0.02400000000000002,906.6799999999984,-399.1314102022478
0.528,-686.43817,23.08690999999999,0.02400000000000002,961.954583333332,-357.12174821987793
0.552,-662.0246,24.41357000000005,0.02400000000000002,1017.2320833333345,-313.78442774314294
0.576,-636.28467,25.73992999999996,0.02399999999999991,1072.4970833333357,-269.12502652796985
0.6,-609.21844,27.06623000000002,0.02400000000000002,1127.759583333333,-223.14018116511028
0.624,-580.82636,28.392079999999964,0.02400000000000002,1183.0033333333308,-175.83590469459273
0.648,-551.10876,29.71760000000006,0.02400000000000002,1238.2333333333347,-127.21081541179046
0.672,-520.06622,31.042539999999917,0.02400000000000002,1293.439166666662,-77.2690593680104
0.696,-487.69925,32.36697000000004,0.02399999999999991,1348.6237500000066,-26.010148068878664
0.72,-454.00876,33.69049000000001,0.02400000000000002,1403.7704166666658,26.559302803510434
0.744,-418.99564,35.013120000000015,0.02400000000000002,1458.8799999999994,80.43868853327012
0.768,-382.66095,36.334689999999966,0.02400000000000002,1513.945416666664,135.62452420551205
0.792,-345.00589,37.65505999999999,0.02400000000000002,1568.9608333333315,192.1136128315095
0.816,-306.0318,38.97409000000005,0.02399999999999991,1623.9204166666748,249.90261742253597
0.84,-265.74005,40.29174999999998,0.02400000000000002,1678.8229166666642,308.9897400524251
0.864,-224.13205,41.608000000000004,0.02400000000000002,1733.6666666666654,369.3730001529796
0.888,-181.20906,42.92299,0.02400000000000002,1788.457916666665,431.0532773549759
0.912,-136.97212,44.236940000000004,0.02400000000000002,1843.2058333333318,494.03266978355964
0.936,-91.42275,45.549369999999996,0.02400000000000002,1897.8904166666648,558.3028106202322
0.96,-44.69002,46.73273,0.02399999999999991,1947.1970833333405,621.9152304911503
0.984,2.66181,47.35183,0.02400000000000002,1972.992916666665,678.0980299333148
1.008,49.9768,47.314989999999995,0.02400000000000002,1971.4579166666647,724.8875266135773
1.032,96.6012,46.62440000000001,0.02400000000000002,1942.683333333332,761.6612091413331
1.056,142.00507,45.40386999999998,0.02400000000000002,1891.8279166666644,789.6551887629628
1.08,186.09399,44.08892,0.02400000000000002,1837.0383333333318,814.9873921291747
1.104,228.86893,42.774940000000015,0.02400000000000002,1782.2891666666658,839.0194517744352
1.128,270.32886,41.459930000000014,0.0239999999999998,1727.4970833333484,861.7218092883402
1.152,310.47247,40.14360999999997,0.02400000000000002,1672.650416666664,883.0891606934156
1.176,349.29846,38.82598999999999,0.02400000000000002,1617.7495833333314,903.1203486317313
1.2,386.80539,37.50693000000001,0.02400000000000002,1562.788749999999,921.8119361145525
1.224,422.99191,36.18652000000003,0.02400000000000002,1507.7716666666665,939.1638569203474
1.248,457.85681,34.86489999999998,0.02400000000000002,1452.7041666666644,955.1768980378438
1.272,491.39902,33.54221000000001,0.02400000000000002,1397.5920833333325,969.8519864557725
1.296,523.61762,32.21859999999998,0.02400000000000002,1342.4416666666648,983.1903418049119
1.32,554.51178,30.894160000000056,0.02400000000000002,1287.2566666666678,995.1924178637332
1.344,584.08081,29.569029999999998,0.02400000000000002,1232.0429166666654,1005.8595216209612
1.368,612.32434,28.243529999999964,0.02400000000000002,1176.8137499999975,1015.1958476222641
1.392,639.24188,26.91754000000003,0.0239999999999998,1121.5641666666772,1023.1991941630215
1.416,664.83313,25.591249999999945,0.02400000000000002,1066.30208333333,1029.8719714422084
